species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Cylindrotoma distinctissima,Arthropoda,Insecta,Diptera,Cylindrotomidae,"BOLD,FE,SyDip",91,98,4,,,266356,392174.0,984252.0
Cylindrotoma nigriventris,Arthropoda,Insecta,Diptera,Cylindrotomidae,"BOLD,FE,SyDip",5,5,2,,,447226,,
Diogma caudata,Arthropoda,Insecta,Diptera,Cylindrotomidae,"BOLD,FE,SyDip",2,3,1,,,447244,,
Diogma glabrata,Arthropoda,Insecta,Diptera,Cylindrotomidae,"BOLD,FE,SyDip",21,21,3,,,451222,,
Phalacrocera replicata,Arthropoda,Insecta,Diptera,Cylindrotomidae,"BOLD,FE,SyDip",16,19,1,,,178002,,
Triogma trisulcata,Arthropoda,Insecta,Diptera,Cylindrotomidae,"BOLD,FE,SyDip",2,3,1,,,456941,,
