species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Neoalticomerus formosus,Arthropoda,Insecta,Diptera,Odiniidae,FE,,,,,gap,
Odinia boletina,Arthropoda,Insecta,Diptera,Odiniidae,"BOLD,FE,SyDip",2.0,4.0,2.0,,,510684.0
Odinia czernyi,Arthropoda,Insecta,Diptera,Odiniidae,"BOLD,FE,SyDip",4.0,4.0,1.0,,,469885.0
Odinia hendeli,Arthropoda,Insecta,Diptera,Odiniidae,"FE,SyDip",,,,,gap,
Odinia loewi,Arthropoda,Insecta,Diptera,Odiniidae,"FE,SyDip",,,,,gap,
Odinia maculata,Arthropoda,Insecta,Diptera,Odiniidae,"FE,SyDip",,,,,gap,
Odinia meijerei,Arthropoda,Insecta,Diptera,Odiniidae,"FE,SyDip",3.0,3.0,1.0,,,720121.0
Odinia ornata,Arthropoda,Insecta,Diptera,Odiniidae,"BOLD,FE,SyDip",2.0,2.0,1.0,,,495166.0
Odinia photophila,Arthropoda,Insecta,Diptera,Odiniidae,"FE,SyDip",,,,,gap,
Odinia pomona,Arthropoda,Insecta,Diptera,Odiniidae,"FE,SyDip",,,,,gap,
Odinia trifida,Arthropoda,Insecta,Diptera,Odiniidae,"FE,SyDip",,,,,gap,
Odinia xanthocera,Arthropoda,Insecta,Diptera,Odiniidae,"FE,SyDip",,,,,gap,
Turanodinia nigripalpis,Arthropoda,Insecta,Diptera,Odiniidae,"FE,SyDip",,,,,gap,
Turanodinia tisciae,Arthropoda,Insecta,Diptera,Odiniidae,"FE,SyDip",,,,,gap,
