species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Cephalodromia bicolor,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cephalodromia humeralis,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cephalodromia nitens,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cyrtisiopsis melleus,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cyrtisiopsis singularis,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cyrtosia canariensis,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cyrtosia flavorufa,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cyrtosia marginata,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cyrtosia meridionalis,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cyrtosia obscuripes,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cyrtosia occidentalis,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cyrtosia opaca,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cyrtosia pallipes,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cyrtosia perfecta,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cyrtosia pruinosula,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Cyrtosia serena,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Empidideicus atomus,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Empidideicus hackmani,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Empidideicus hispanus,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Empidideicus hungaricus,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Glabellula canariensis,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Glabellula meridionalis,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Glabellula sufflava,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Glabellula unicolor,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Platypygus bellus,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Platypygus chrysanthemi,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Platypygus melinoproctus,Arthropoda,Insecta,Diptera,Mythicomyiidae,"FE,SyDip",,,,,gap,
Platypygus ridibundus,Arthropoda,Insecta,Diptera,Mythicomyiidae,FE,,,,,gap,
