species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Allograpta (Allograpta) nasuta,Arthropoda,Insecta,Diptera,Syrphidae,"Syr,SyDip",18.0,26.0,3.0,,,386106.0,,
Allograpta limbata,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,SyDip",3.0,3.0,1.0,,,891515.0,,
Anasimyia (Eurimyia)  lineata,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr",24.0,28.0,1.0,FD,,956316.0,,
Anasimyia contracta,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",13.0,22.0,1.0,,,346682.0,,
Anasimyia femorata,Arthropoda,Insecta,Diptera,Syrphidae,"FE,SyDip",,,,,gap,,,
Anasimyia interpuncta,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr",16.0,21.0,1.0,,,346683.0,,
Anasimyia lunulata,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr",10.0,12.0,2.0,,,346684.0,,
Anasimyia transfuga,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",5.0,11.0,2.0,,,346685.0,,
Arctophila bombiforme,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE",2.0,2.0,0.0,BEL,,525356.0,,
Arctophila superbiens,Arthropoda,Insecta,Diptera,Syrphidae,"FE,Syr",,,,,gap,,,
Asarkina (Asarkina) fiorii,Arthropoda,Insecta,Diptera,Syrphidae,"FE,SyDip",,,,,gap,,,
Baccha elongata,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,iNat,Syr,SyDip",90.0,112.0,2.0,BEL,,30748.0,736532.0,346689.0
Baccha perexilis,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,SyDip",6.0,12.0,0.0,,,346689.0,,
Blera eoa,Arthropoda,Insecta,Diptera,Syrphidae,"FE,Syr,SyDip",5.0,6.0,0.0,,,734760.0,,
Blera fallax,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,iNat,Syr,SyDip",28.0,37.0,1.0,,,30768.0,,
Blera nitens,Arthropoda,Insecta,Diptera,Syrphidae,"FE,SyDip",3.0,3.0,0.0,,,771360.0,,
Brachyopa (Brachyopa) bicolor,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",9.0,12.0,0.0,SyDip,,346692.0,,
Brachyopa (Brachyopa) cinerea,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",3.0,5.0,1.0,,,475980.0,,
Brachyopa (Brachyopa) dorsata,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",23.0,33.0,1.0,,,346693.0,,
Brachyopa (Brachyopa) insensilis,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",12.0,14.0,0.0,,,384179.0,,
Brachyopa (Brachyopa) maculipennis,Arthropoda,Insecta,Diptera,Syrphidae,"FE,Syr,SyDip",,,,,gap,,,
Brachyopa (Brachyopa) obscura,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",5.0,9.0,1.0,,,475981.0,,
Brachyopa (Brachyopa) panzeri,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",5.0,7.0,0.0,,,346694.0,,
Brachyopa (Brachyopa) pilosa,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",18.0,36.0,1.0,,,346695.0,,
Brachyopa (Brachyopa) plena,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",2.0,2.0,0.0,,,475971.0,,
Brachyopa (Brachyopa) quadrimaculosa,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,SyDip",2.0,2.0,1.0,,,919633.0,,
Brachyopa (Brachyopa) scutellaris,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",23.0,30.0,1.0,,,346696.0,,
Brachyopa (Brachyopa) testacea,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",20.0,31.0,1.0,SyDip,,346697.0,,
Brachyopa (Brachyopa) vittata,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,iNat,Syr,SyDip",13.0,15.0,1.0,,,346698.0,,
Brachyopa bimaculosa,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,Syr,SyDip",5.0,7.0,0.0,,,475973.0,,
Brachyopa gnadrimaculosa,Arthropoda,Insecta,Diptera,Syrphidae,BOLD,0.0,1.0,0.0,,gap,475972.0,,
Brachyopa grunewaldensis,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",3.0,4.0,0.0,,,475976.0,,
Brachyopa minima,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,SyDip",3.0,3.0,1.0,,,608133.0,,
Brachyopa reemeri,Arthropoda,Insecta,Diptera,Syrphidae,BOLD,0.0,1.0,0.0,,gap,608130.0,,
Brachyopa silviae,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,Syr,SyDip",1.0,2.0,0.0,,,475974.0,,
Brachyopa similis,Arthropoda,Insecta,Diptera,Syrphidae,BOLD,1.0,1.0,0.0,,,608132.0,,
Brachyopa zhelochovtsevi,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,Syr,SyDip",4.0,5.0,2.0,,,540895.0,,
Brachypalpus (Brachypalpus) chrysites,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,iNat,Syr,SyDip",3.0,3.0,0.0,,,908947.0,,
Brachypalpus (Brachypalpus) valgus,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,iNat,Syr,SyDip",6.0,14.0,0.0,SyDip,,346701.0,,
Brachypalpus chysitis,Arthropoda,Insecta,Diptera,Syrphidae,BOLD,1.0,3.0,0.0,,,346699.0,,
Brachypalpus laphriformis,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr",32.0,39.0,1.0,,,346700.0,,
Caliprobola aenea,Arthropoda,Insecta,Diptera,Syrphidae,BOLD,0.0,2.0,0.0,,gap,346704.0,,
Caliprobola speciosa,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,iNat,Syr,SyDip",13.0,16.0,1.0,,,346703.0,,
Callicera aenea,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,iNat,Syr,SyDip",7.0,7.0,1.0,,,303409.0,,
Callicera aurata,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",1.0,2.0,0.0,,,502223.0,,
Callicera fagesii,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",2.0,3.0,0.0,BEL,,475903.0,,
Callicera macquartii,Arthropoda,Insecta,Diptera,Syrphidae,"FE,iNat,Syr,SyDip",,,,,gap,,,
Callicera rufa,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",1.0,1.0,0.0,,,677246.0,,
Callicera spinolae,Arthropoda,Insecta,Diptera,Syrphidae,"FE,iNat,Syr,SyDip",,,,,gap,,,
Ceriana binominata,Arthropoda,Insecta,Diptera,Syrphidae,BOLD,1.0,1.0,0.0,,,708690.0,,
Ceriana conopsoides,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,iNat,Syr,SyDip",13.0,16.0,2.0,,,303407.0,,
Ceriana glaebosa,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,SyDip",1.0,1.0,1.0,,,983827.0,,
Ceriana vespiformis,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",18.0,22.0,0.0,,,384219.0,,
Chalcosyrphus (Xylotodes) eunotus,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",6.0,6.0,0.0,SyDip,,515674.0,,
Chalcosyrphus (Xylotomima) eumerus,Arthropoda,Insecta,Diptera,Syrphidae,"FE,SyDip",,,,SyDip,gap,,,
Chalcosyrphus (Xylotomima) femoratus,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,iNat,Syr,SyDip",10.0,13.0,0.0,SyDip,,346705.0,707308.0,
Chalcosyrphus (Xylotomima) jacobsoni,Arthropoda,Insecta,Diptera,Syrphidae,"BOLD,FE,Syr,SyDip",2.0,2.0,1.0,SyDip,,546618.0,,
