species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Mycetobia gemella,Arthropoda,Insecta,Diptera,Anisopodidae,"BOLD,FE,SyDip",2.0,2.0,1.0,,,976852.0
Mycetobia obscura,Arthropoda,Insecta,Diptera,Anisopodidae,"BOLD,FE,SyDip",7.0,7.0,1.0,,,786604.0
Mycetobia pallipes,Arthropoda,Insecta,Diptera,Anisopodidae,"BOLD,FE,SyDip",7.0,8.0,1.0,,,677259.0
Sylvicola (Anisopus) stackelbergi,Arthropoda,Insecta,Diptera,Anisopodidae,"BOLD,FE,SyDip",36.0,38.0,1.0,,,468418.0
Sylvicola baechlii,Arthropoda,Insecta,Diptera,Anisopodidae,"FE,SyDip",,,,,gap,
Sylvicola cinctus,Arthropoda,Insecta,Diptera,Anisopodidae,"BOLD,FE,iNat,SyDip",880.0,883.0,1.0,SyDip,,374075.0
Sylvicola fenestralis,Arthropoda,Insecta,Diptera,Anisopodidae,"BOLD,FE,iNat,SyDip",8.0,12.0,1.0,,,374076.0
Sylvicola fuscatoides,Arthropoda,Insecta,Diptera,Anisopodidae,"BOLD,FE,SyDip",3.0,3.0,1.0,,,540907.0
Sylvicola fuscatus,Arthropoda,Insecta,Diptera,Anisopodidae,"BOLD,FE,iNat,SyDip",533.0,534.0,5.0,,,350374.0
Sylvicola limpidus,Arthropoda,Insecta,Diptera,Anisopodidae,FE,,,,,gap,
Sylvicola oceanus,Arthropoda,Insecta,Diptera,Anisopodidae,FE,,,,,gap,
Sylvicola punctatus,Arthropoda,Insecta,Diptera,Anisopodidae,"BOLD,FE,iNat,SyDip",1284.0,1288.0,3.0,,,453387.0
Sylvicola zetterstedti,Arthropoda,Insecta,Diptera,Anisopodidae,"BOLD,FE",17.0,18.0,1.0,,,704368.0
