species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Iteaphila furcata,Arthropoda,Insecta,Diptera,Iteaphila-group,"BOLD,FE,SyDip",2,2,1,,,738632
Iteaphila macquarti,Arthropoda,Insecta,Diptera,Iteaphila-group,"BOLD,FE,SyDip",196,198,1,,,386403
Iteaphila nitidula,Arthropoda,Insecta,Diptera,Iteaphila-group,"BOLD,FE,SyDip",61,65,6,,,386401
