species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Aenigmatias brevifrons,Arthropoda,Insecta,Diptera,Phoridae,"FE,SyDip",,,,,gap,,
Aenigmatias dorni,Arthropoda,Insecta,Diptera,Phoridae,"FE,SyDip",,,,,gap,,
Aenigmatias franzi,Arthropoda,Insecta,Diptera,Phoridae,"FE,SyDip",,,,,gap,,
Aenigmatias lubbockii,Arthropoda,Insecta,Diptera,Phoridae,"BOLD,FE",9.0,10.0,1.0,,,467356.0,
Aenigmatias picipes,Arthropoda,Insecta,Diptera,Phoridae,"BOLD,FE,SyDip",0.0,1.0,0.0,,gap,1137133.0,
Anevrina curvinervis,Arthropoda,Insecta,Diptera,Phoridae,"BOLD,FE,SyDip",22.0,23.0,1.0,,,744623.0,
Anevrina kozaneki,Arthropoda,Insecta,Diptera,Phoridae,"FE,SyDip",,,,,gap,,
Anevrina setigera,Arthropoda,Insecta,Diptera,Phoridae,FE,11.0,13.0,1.0,,,649264.0,
Anevrina thoracica,Arthropoda,Insecta,Diptera,Phoridae,"BOLD,FE,SyDip",95.0,99.0,3.0,,,483405.0,
Anevrina unispinosa,Arthropoda,Insecta,Diptera,Phoridae,"BOLD,FE,SyDip",0.0,4.0,0.0,,gap,799750.0,
Anevrina urbana,Arthropoda,Insecta,Diptera,Phoridae,"BOLD,FE,SyDip",20.0,21.0,1.0,,,467364.0,
Beckerina umbrimargo,Arthropoda,Insecta,Diptera,Phoridae,"FE,SyDip",,,,,gap,,
Billotia inermis,Arthropoda,Insecta,Diptera,Phoridae,"FE,SyDip",,,,,gap,,
Billotia papii,Arthropoda,Insecta,Diptera,Phoridae,"FE,SyDip",,,,,gap,,
Borophaga (Borophaga) femorata,Arthropoda,Insecta,Diptera,Phoridae,"BOLD,FE,SyDip",19.0,20.0,2.0,SyDip,,467375.0,
Borophaga (Borophaga) germanica,Arthropoda,Insecta,Diptera,Phoridae,"FE,SyDip",,,,SyDip,gap,,
Borophaga (Borophaga) irregularis,Arthropoda,Insecta,Diptera,Phoridae,"FE,SyDip",,,,SyDip,gap,,
Borophaga (Peromitra) agilis,Arthropoda,Insecta,Diptera,Phoridae,"BOLD,FE,SyDip",1.0,1.0,0.0,SyDip,,1067466.0,
Borophaga (Peromitra) carinifrons,Arthropoda,Insecta,Diptera,Phoridae,"BOLD,FE,SyDip",11.0,12.0,2.0,SyDip,,483350.0,
Borophaga (Peromitra) cephalotes,Arthropoda,Insecta,Diptera,Phoridae,"FE,SyDip",,,,SyDip,gap,,
Borophaga (Peromitra) erythrocera,Arthropoda,Insecta,Diptera,Phoridae,"FE,SyDip",,,,SyDip,gap,,
Borophaga (Peromitra) incrassata,Arthropoda,Insecta,Diptera,Phoridae,"BOLD,FE,SyDip",3.0,4.0,1.0,SyDip,,956439.0,
Borophaga bennetti,Arthropoda,Insecta,Diptera,Phoridae,BOLD,0.0,2.0,0.0,,gap,964357.0,
Borophaga subsultans,Arthropoda,Insecta,Diptera,Phoridae,"BOLD,FE,SyDip",13.0,22.0,2.0,,,736253.0,
Chaetopleurophora bohemanni,Arthropoda,Insecta,Diptera,Phoridae,"FE,SyDip",,,,,gap,,
Chaetopleurophora erythronota,Arthropoda,Insecta,Diptera,Phoridae,"BOLD,FE,SyDip",41.0,42.0,1.0,,,467380.0,
