species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Chaoborus (Chaoborus) crystallinus,Arthropoda,Insecta,Diptera,Chaoboridae,"BOLD,FE,SyDip",14,25,1,SyDip,,169993
Chaoborus (Chaoborus) flavicans,Arthropoda,Insecta,Diptera,Chaoboridae,"BOLD,FE,SyDip",431,487,4,SyDip,,169992
Chaoborus albipes,Arthropoda,Insecta,Diptera,Chaoboridae,BOLD,125,125,4,,,1057436
Chaoborus nyblaei,Arthropoda,Insecta,Diptera,Chaoboridae,"BOLD,FE,SyDip",6,7,1,,,737969
Chaoborus obscuripes,Arthropoda,Insecta,Diptera,Chaoboridae,"BOLD,FE,SyDip",23,26,1,,,173382
Chaoborus pallidus,Arthropoda,Insecta,Diptera,Chaoboridae,"BOLD,FE,SyDip",10,12,2,,,173379
Chaoborus posio,Arthropoda,Insecta,Diptera,Chaoboridae,BOLD,17,17,1,,,1057437
Cryophila lapponica,Arthropoda,Insecta,Diptera,Chaoboridae,"BOLD,FE,SyDip",7,7,1,,,497154
Mochlonyx fuliginosus,Arthropoda,Insecta,Diptera,Chaoboridae,"BOLD,FE,SyDip",21,21,2,,,737970
Mochlonyx triangularis,Arthropoda,Insecta,Diptera,Chaoboridae,"BOLD,FE,SyDip",18,18,1,,,892692
Mochlonyx velutinus,Arthropoda,Insecta,Diptera,Chaoboridae,"BOLD,FE,SyDip",25,25,2,,,497152
