species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Acantholeria cineraria,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Acantholeria dentitibia,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Acantholeria vockerothi,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Borboropsis puberula,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",40.0,42.0,1.0,,,467373.0,
Eccoptomera brandti,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Eccoptomera emarginata,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",3.0,3.0,1.0,,,718264.0,
Eccoptomera filata,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Eccoptomera inermis,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Eccoptomera infuscata,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",1.0,2.0,0.0,,,956438.0,
Eccoptomera ligustica,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Eccoptomera longiseta,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",7.0,10.0,1.0,,,467412.0,
Eccoptomera marginicornis,Arthropoda,Insecta,Diptera,Heleomyzidae,FE,,,,,gap,,
Eccoptomera microps,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",0.0,1.0,0.0,,gap,956437.0,
Eccoptomera nigricornis,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Eccoptomera obscura,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",16.0,16.0,1.0,,,771516.0,
Eccoptomera ornata,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",0.0,4.0,0.0,,gap,978612.0,
Eccoptomera pallescens,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",33.0,34.0,1.0,,,786656.0,
Eccoptomera promethei,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Eccoptomera sanmartini,Arthropoda,Insecta,Diptera,Heleomyzidae,FE,,,,,gap,,
Eccoptomera setigera,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Eccoptomera triseta,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Eccoptomera troglomontana,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",0.0,1.0,0.0,,gap,957349.0,
Eccoptomera zernyi,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Gymnomus (Gymnomus) czernyi,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Gymnomus (Gymnomus) europaea,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Gymnomus (Gymnomus) mariei,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,SyDip,gap,,
Gymnomus (Gymnomus) martineki,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Gymnomus (Gymnomus) soosi,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Gymnomus (Gymnomus) spectabilis,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",2.0,2.0,0.0,SyDip,,771515.0,
Gymnomus (Gymnomus) troglodytes,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Gymnomus (Scoliocentra) amplicornis,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",21.0,23.0,1.0,SyDip,,969355.0,
Gymnomus caesius,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE",9.0,9.0,1.0,,,887923.0,
Gymnomus ceianui,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Gymnomus sabroskyi,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Heleomyza (Anypotacta) setulosa,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,SyDip,gap,,
Heleomyza (Heleomyza) borealis,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",0.0,1.0,0.0,SyDip,gap,887925.0,
Heleomyza (Heleomyza) breviciliata,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,SyDip,gap,,
Heleomyza (Heleomyza) captiosa,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",7.0,7.0,0.0,SyDip,,1140734.0,
Heleomyza (Heleomyza) hackmani,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Heleomyza modesta,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",186.0,187.0,0.0,,,1140735.0,
Heleomyza pleuralis,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Heleomyza serrata,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",129.0,129.0,2.0,,,510694.0,
Heteromyza atricornis,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",5.0,5.0,0.0,,,887924.0,
Heteromyza commixta,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Heteromyza oculata,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",131.0,131.0,2.0,,,461929.0,
Heteromyza rotundicornis,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",72.0,74.0,1.0,,,510700.0,
Morpholeria (Anthroleria) marmotae,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Morpholeria (Morpholeria) dudai,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,SyDip,gap,,
Morpholeria (Spanoparea) innotata,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,SyDip,gap,,
Morpholeria (Spanoparea) kerteszii,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Morpholeria (Spanoparea) limbinervis,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,SyDip,gap,,
Morpholeria (Spanoparea) obscuriventris,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",1.0,1.0,0.0,SyDip,,979749.0,
Morpholeria (Spanoparea) ruficornis,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,iNat,SyDip",18.0,18.0,1.0,SyDip,,467479.0,
Morpholeria (Spanoparea) tibialis,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,SyDip,gap,,
Morpholeria (Spanoparea) variabilis,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",1.0,1.0,1.0,SyDip,,598057.0,
Neoleria flavicornis,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Neoleria fuscicornis,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Neoleria inscripta,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",25.0,29.0,2.0,,,510560.0,
Neoleria maritima,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Neoleria prominens,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",42.0,45.0,2.0,,,528986.0,
Neoleria propinqua,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Neoleria pusilla,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Neoleria ruficauda,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",5.0,6.0,1.0,,,677271.0,
Neoleria ruficeps,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",6.0,6.0,1.0,,,510695.0,
Neossos nidicola,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",0.0,1.0,0.0,,gap,981723.0,
Oecothea dubia,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Oecothea dubinini,Arthropoda,Insecta,Diptera,Heleomyzidae,"FE,SyDip",,,,,gap,,
Oecothea fenestralis,Arthropoda,Insecta,Diptera,Heleomyzidae,"BOLD,FE,SyDip",14.0,14.0,1.0,,,786641.0,
