species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Angioneura cyrtoneurina,Arthropoda,Insecta,Diptera,Calliphoridae,"FE,SyDip",,,,,gap,
Bellardia bayeri,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,FE,SyDip",5.0,6.0,2.0,,,499428.0
Bellardia brevistylata,Arthropoda,Insecta,Diptera,Calliphoridae,"FE,SyDip",,,,,gap,
Bellardia corsicana,Arthropoda,Insecta,Diptera,Calliphoridae,"FE,SyDip",,,,,gap,
Bellardia grunini,Arthropoda,Insecta,Diptera,Calliphoridae,"FE,SyDip",,,,,gap,
Bellardia kisha,Arthropoda,Insecta,Diptera,Calliphoridae,"FE,SyDip",,,,,gap,
Bellardia obsoleta,Arthropoda,Insecta,Diptera,Calliphoridae,"FE,SyDip",,,,SyDip,gap,
Bellardia pandia,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,FE,SyDip",40.0,40.0,1.0,,,786596.0
Bellardia polita,Arthropoda,Insecta,Diptera,Calliphoridae,"FE,SyDip",,,,,gap,
Bellardia pruinosa,Arthropoda,Insecta,Diptera,Calliphoridae,FE,,,,,gap,
Bellardia pubicornis,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,FE",4.0,4.0,0.0,,,744692.0
Bellardia siciliensis,Arthropoda,Insecta,Diptera,Calliphoridae,"FE,SyDip",,,,,gap,
Bellardia stricta,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,FE,SyDip",14.0,14.0,1.0,,,406859.0
Bellardia tatrica,Arthropoda,Insecta,Diptera,Calliphoridae,"FE,SyDip",,,,,gap,
Bellardia vespillo,Arthropoda,Insecta,Diptera,Calliphoridae,FE,,,,,gap,
Bellardia viarum,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,FE",26.0,27.0,2.0,,,468354.0
Bellardia vulgaris,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,FE",51.0,52.0,1.0,,,402887.0
Calliphora (Acrophaga) subalpina,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,FE,SyDip",9.0,11.0,1.0,SyDip,,407148.0
Calliphora (Calliphora) loewi,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,FE,SyDip",83.0,87.0,1.0,SyDip,,154031.0
Calliphora (Calliphora) rohdendorfi,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,SyDip",2.0,2.0,0.0,,,1140756.0
Calliphora (Calliphora) splendens,Arthropoda,Insecta,Diptera,Calliphoridae,"FE,SyDip",,,,,gap,
Calliphora (Calliphora) vicina,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,FE,iNat,SyDip",533.0,984.0,2.0,SyDip,,26221.0
Calliphora (Steringomyia) stylifera,Arthropoda,Insecta,Diptera,Calliphoridae,"FE,SyDip",,,,SyDip,gap,
Calliphora bezzi,Arthropoda,Insecta,Diptera,Calliphoridae,FE,,,,,gap,
Calliphora genarum,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,FE,SyDip",81.0,82.0,1.0,,,499429.0
Calliphora stelviana,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,FE,SyDip",24.0,25.0,1.0,,,499430.0
Calliphora uralensis,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,FE,SyDip",9.0,9.0,1.0,,,479106.0
Calliphora vomitoria,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,FE,iNat,SyDip",341.0,375.0,1.0,,,29842.0
Chrysomya albiceps,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,FE,iNat,SyDip",395.0,451.0,2.0,,,30611.0
Chrysomya chloropyga,Arthropoda,Insecta,Diptera,Calliphoridae,"FE,SyDip",23.0,29.0,1.0,,,152492.0
Chrysomya megacephala,Arthropoda,Insecta,Diptera,Calliphoridae,"FE,SyDip",1002.0,1236.0,3.0,,,26675.0
Cosmina prasina,Arthropoda,Insecta,Diptera,Calliphoridae,"FE,SyDip",0.0,1.0,0.0,,gap,802278.0
Cynomya cadaverina,Arthropoda,Insecta,Diptera,Calliphoridae,"BOLD,SyDip",742.0,747.0,1.0,,,32472.0
