species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Cnephia eremites,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",26.0,30.0,1.0,,,11749.0,
Cnephia intermedia,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Cnephia pallipes,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE",19.0,19.0,1.0,,,69713.0,
Cnephia toptchievi,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Crozetia crozetensis,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,SyDip",4.0,4.0,1.0,,,894818.0,
Crozetia seguyi,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,SyDip",8.0,8.0,1.0,,,92410.0,
Greniera brachiata,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Greniera fabri,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Greniera ivanovae,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",10.0,10.0,1.0,,,354361.0,
Greniera zverevae,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Helodon (Helodon) ferrugineum,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,SyDip",11.0,11.0,1.0,SyDip,,,
Metacnephia amphora,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",23.0,26.0,3.0,,,405167.0,
Metacnephia bilineata,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,SyDip",72.0,78.0,1.0,,,400083.0,
Metacnephia blanci,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Metacnephia breevi,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Metacnephia danubica,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Metacnephia fuscipes,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Metacnephia korsakovi,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Metacnephia lyra,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE",429.0,430.0,1.0,,,69901.0,
Metacnephia nigra,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Metacnephia nuragica,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Metacnephia ramificata,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Metacnephia saileri,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE",37.0,38.0,1.0,,,11733.0,
Metacnephia sardoa,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Metacnephia tredecimata,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",5.0,5.0,1.0,,,354362.0,
Metacnephia uzunovi,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Prosimulium (Helodon) albense,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Prosimulium (Prosimulium) aculeatum,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Prosimulium (Prosimulium) calabrum,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Prosimulium (Prosimulium) juccii,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
Prosimulium (Prosimulium) ursinum,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",40.0,40.0,2.0,SyDip,,211925.0,
Prosimulium faurei,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Prosimulium ferrugineum,Arthropoda,Insecta,Diptera,Simuliidae,FE,,,,,gap,,
Prosimulium fulvipes,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Prosimulium gigas,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Prosimulium hirtipes,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",52.0,53.0,2.0,,,111792.0,
Prosimulium latimucro,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",13.0,13.0,3.0,,,760726.0,
Prosimulium luganicum,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Prosimulium macropyga,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",3.0,3.0,1.0,,,354360.0,
Prosimulium petrosum,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",1.0,1.0,1.0,,,653467.0,
Prosimulium pronevitschae,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",11.0,11.0,4.0,,,1150072.0,
Prosimulium rufipes,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",49.0,49.0,1.0,,,760727.0,
Prosimulium tomosvaryi,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",54.0,56.0,2.0,,,778636.0,
Simulium (Argentisimulium) dolini,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Simulium (Boophthora) erythrocephalum,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",54.0,73.0,1.0,SyDip,,111793.0,
Simulium (Byssodon) maculatum,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",25.0,25.0,2.0,SyDip,,257689.0,
Simulium (Cnetha) ichnusae,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Simulium (Cnetha) minuticorpus,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
Simulium (Eusimulium) angustipes,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",28.0,31.0,2.0,,,111794.0,
Simulium (Eusimulium) annae,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Simulium (Eusimulium) argentipile,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
Simulium (Eusimulium) aureum,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",24.0,36.0,5.0,,,92399.0,
Simulium (Eusimulium) azorense,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
Simulium (Eusimulium) brachyantherum,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Simulium (Eusimulium) flexibranchium,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Simulium (Eusimulium) guimari,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Simulium (Eusimulium) krymense,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
Simulium (Eusimulium) maritimum,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
Simulium (Eusimulium) silvaticum,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
Simulium (Eusimulium) tenerificum,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,,gap,,
Simulium (Eusimulium) velutinum,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
Simulium (Hellichiella) annuliforme,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
Simulium (Hellichiella) arctium,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
Simulium (Hellichiella) baffinense,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",24.0,24.0,1.0,SyDip,,8533.0,
Simulium (Hellichiella) crassum,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",5.0,5.0,1.0,SyDip,,354364.0,
Simulium (Hellichiella) dogieli,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",5.0,5.0,1.0,SyDip,,354363.0,
Simulium (Hellichiella) fallisi,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
Simulium (Hellichiella) latipes,Arthropoda,Insecta,Diptera,Simuliidae,"BOLD,FE,SyDip",22.0,24.0,3.0,SyDip,,111788.0,
Simulium (Hellichiella) olonicum,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
Simulium (Hellichiella) rendalense,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
Simulium (Hellichiella) saccai,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
Simulium (Hellichiella) tsheburovae,Arthropoda,Insecta,Diptera,Simuliidae,"FE,SyDip",,,,SyDip,gap,,
