species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Euryomma peregrinum,Arthropoda,Insecta,Diptera,Fanniidae,"BOLD,FE,SyDip",2.0,2.0,1.0,,,918925.0,
Fannia aequilineata,Arthropoda,Insecta,Diptera,Fanniidae,"BOLD,FE,SyDip",15.0,21.0,1.0,,,482215.0,
Fannia aethiops,Arthropoda,Insecta,Diptera,Fanniidae,"BOLD,FE,SyDip",11.0,14.0,1.0,,,228515.0,
Fannia alpina,Arthropoda,Insecta,Diptera,Fanniidae,"FE,SyDip",,,,,gap,,
Fannia armata,Arthropoda,Insecta,Diptera,Fanniidae,"BOLD,FE,SyDip",259.0,272.0,1.0,,,107046.0,
Fannia atra,Arthropoda,Insecta,Diptera,Fanniidae,"BOLD,FE,SyDip",62.0,67.0,1.0,,,644363.0,
Fannia atripes,Arthropoda,Insecta,Diptera,Fanniidae,"BOLD,FE,SyDip",20.0,23.0,1.0,,,228523.0,
Fannia barbata,Arthropoda,Insecta,Diptera,Fanniidae,"BOLD,FE,SyDip",2.0,3.0,0.0,,,700769.0,
Fannia bifimbriata,Arthropoda,Insecta,Diptera,Fanniidae,"BOLD,SyDip",7.0,9.0,1.0,,,479100.0,397191.0
Fannia bigelowi,Arthropoda,Insecta,Diptera,Fanniidae,"FE,SyDip",0.0,1.0,0.0,,gap,932183.0,
Fannia brinae,Arthropoda,Insecta,Diptera,Fanniidae,"FE,SyDip",,,,,gap,,
Fannia brooksi,Arthropoda,Insecta,Diptera,Fanniidae,"BOLD,SyDip",350.0,351.0,1.0,,,397203.0,
Fannia canicularis,Arthropoda,Insecta,Diptera,Fanniidae,"BOLD,FE,iNat,SyDip",127.0,163.0,3.0,SyDip,,103870.0,
Fannia carbonaria,Arthropoda,Insecta,Diptera,Fanniidae,"BOLD,FE,SyDip",6.0,8.0,1.0,,,467418.0,
Fannia carbonella,Arthropoda,Insecta,Diptera,Fanniidae,"FE,SyDip",,,,,gap,,
Fannia clara,Arthropoda,Insecta,Diptera,Fanniidae,"BOLD,FE,SyDip",1.0,1.0,0.0,,,1140752.0,
