"species","num.records"
"Adela collicolella",10
"Nematopogon caliginella",413
"Nemophora albiciliellus",19
"Alucita bidentata",7
"Alucita canariensis",6
"Alucita cymatodactyla",6
"Argyresthia chrysidella",8
"Argyresthia illuminatella",6
"Argyresthia laevigatellus",85
"Argyresthia minusculella",5
"Apatema impunctella",47
"Apateona hispanicum",9
"Catasphalma kautziella",24
"Symmoca alhambrella",7
"Symmoca nigromaculella",24
"Symmoca ponerias",24
"Symmoca revoluta",21
"Symmocoides don",6
"Blastobasis marmorosella",2
"Blastobasis rebeli",7
"Coleophora fuscicornis",9
"Coleophora galbulipenella",17
"Coleophora inflatae",178
"Coleophora jaeckhi",15
"Coleophora otidipenella",478
"Coleophora salinella",6
"Coleophora solidaginella",12
"Alloclita albocinctella",4
"Cosmopterix druryella",133
"Eteobalea dohrnii",9
"Sorhagenia orocorsa",142
"Achyra murcialis",1
"Agriphila cyrenaicellus",13
"Agriphila hungaricus",17
"Agriphila paleatellus",6
"Anania murcialis",7
"Ancylolomia chrysographellus",1
"Ancylolomia palpella",35
"Ancylolomia tripolitella",5
"Catharia pyrenaealis",9
"Catoptria staudingeri",72
"Chilo christophi",2
"Chilo pulverosellus",8
"Chrysocrambus dentuellus",65
"Crambus cyrnellus",1607
"Crambus monochromella",9
"Crambus palustrellus",3
"Dolicharthria concoloralis",45
"Dolicharthria daralis",9
"Elophila feili",8
"Euchromius anapiellus",32
"Euchromius gozmanyi",23
"Evergestis dusmeti",14
"Evergestis marionalis",11
"Evergestis marocana",80
"Evergestis umbrosalis",4
"Hyperlais glyceralis",22
"Hyperlais siccalis",22
"Loxostege fascialis",6
"Loxostege tesselalis",14
"Loxostege tessellalis",14
"Mesocrambus tamsi",9
"Metacrambus pallidellus",19
"Metasia corsicalis",29
"Metasia cuencalis",98
"Metasia cyrnealis",73
"Metasia gigantalis",9
"Metasia ibericalis",25
"Metasia parvalis",73
"Metasia rosealis",4
"Orenaia ventosalis",5
"Parapoynx bilinealis",1
"Pediasia bolivarellus",5
"Pediasia kenderesiensis",399
"Pediasia matricella",5
"Pediasia ribbeellus",33
"Pediasia siculellus",13
"Pediasia subflavellus",4
"Prochoristis crudalis",4
"Pyrausta acontialis",20
"Scirpophaga xanthopygata",1
"Syllepte vagans",2
"Talis quercella",9
"Udea conquisitalis",109
"Udea maurinalis",7
"Xanthocrambus delicatellus",16
"Cilix algirica",13
"Drepana binaria",1573
"Agonopterix feruliphila",23
"Elachista bidentata",34
"Elachista buvati",8
"Elachista regificella",35
"Elachista stelviella",10
"Ethmia distigmatella",5
"Haplochrois albanica",6
"Perittia piperatella",7
"Epermenia farreni",7
"Epermenia insecurella",17
"Epermenia pumila",48
"Amata transcaspica",6
"Arctia angelica",3277
"Arctia dejeanii",29
"Arctia konewkaii",3277
"Autophila anaphanes",6
"Dasychira pudibunda",3124
"Diaphora luctuosa",13
"Eilema bipuncta",4
"Eublemma amasina",1
"Euplagia quadripunctata",4192
"Euproctis kargalika",5
"Hypena palpalis",13
"Macrochilo cribumalis",1526
"Ocnogyna boeticum",70
"Ocnogyna clathrata",31
"Ocnogyna corsicum",15
"Ocnogyna loewii",31
"Orgyia corsica",3
"Pericyma squalens",3
"Rhynchina canariensis",4
"Rhynchodontodes revolutalis",10
"Schrankia balneorum",5
"Eriocottis hispanica",7
"Eriocottis paradoxella",20
"Eriocrania amentella",847
"Acanthophila alacella",451
"Acompsia muellerrutzi",4
"Bryotropha dufraneella",1120
"Bryotropha mundella",163
"Caryocolum alsinellum",110
"Caryocolum blandulellum",32
"Chionodes cerdanica",323
"Dichomeris limosella",145
"Gelechia sabinellus",323
"Gnorimoschema vastificum",1
"Isophrictis lineatellus",51
"Megacraspedus carolustertius",12
"Megacraspedus grossisquammellus",34
"Megacraspedus incertellus",41
"Megacraspedus litovalvellus",5
"Megacraspedus separatellus",41
"Megacraspedus subdolellus",34
"Megacraspedus tutti",34
"Mesophleps ochracella",7
