x,y,species logistic values
1.0,1.0,0.047076266
2.0,2.0,0.14780714
3.0,3.0,0.29522
4.0,4.0,0.37885737
5.0,5.0,0.23666155
6.0,6.0,0.087771416
7.0,7.0,0.008687228
8.0,8.0,0.28164333
9.0,9.0,0.744172
10.0,10.0,4.1836218E-4
11.0,11.0,0.6932832
12.0,12.0,0.2108898
13.0,13.0,0.2543514
14.0,14.0,0.4965941
15.0,15.0,0.17320476
16.0,16.0,0.21466419
17.0,17.0,0.75223005
18.0,18.0,0.6919524
19.0,19.0,0.034877058
20.0,20.0,0.31036577
21.0,21.0,0.28153557
22.0,22.0,0.06453635
23.0,23.0,0.19727798
24.0,24.0,0.22477098
25.0,25.0,0.57722044
26.0,26.0,0.008073475
27.0,27.0,0.14935647
28.0,28.0,0.11566931
29.0,29.0,0.005376354
30.0,30.0,0.14281401
31.0,31.0,0.0023399105
32.0,32.0,0.08388444
33.0,33.0,0.19036533
34.0,34.0,0.48139623
35.0,35.0,0.12201265
36.0,36.0,0.100516476
37.0,37.0,0.38732463
38.0,38.0,0.029151723
39.0,39.0,0.5895749
40.0,40.0,0.0047863466
41.0,41.0,0.08780652
42.0,42.0,0.7532004
43.0,43.0,0.2302376
44.0,44.0,0.17070568
45.0,45.0,0.2530946
46.0,46.0,0.4319504
47.0,47.0,0.08637066
48.0,48.0,0.15186422
49.0,49.0,0.47699457
50.0,50.0,0.098101296
51.0,51.0,0.2472746
52.0,52.0,0.39172077
53.0,53.0,1.0983831E-5
54.0,54.0,0.6209495
55.0,55.0,0.19641916
56.0,56.0,0.07324339
57.0,57.0,0.002347775
58.0,58.0,0.21614908
59.0,59.0,0.16960862
60.0,60.0,0.13321696
61.0,61.0,0.0012142961
62.0,62.0,0.49903792
63.0,63.0,0.0051490474
64.0,64.0,0.41715288
65.0,65.0,0.17706063
66.0,66.0,0.61040103
67.0,67.0,0.17388347
68.0,68.0,0.17525552
69.0,69.0,0.2700815
70.0,70.0,0.0677507
71.0,71.0,0.44419256
72.0,72.0,0.5549742
73.0,73.0,0.21009344
74.0,74.0,0.065888084
75.0,75.0,0.28861046
76.0,76.0,0.13100669
77.0,77.0,0.21660209
78.0,78.0,0.51583153
79.0,79.0,0.2017501
80.0,80.0,0.094292514
81.0,81.0,0.5810371
82.0,82.0,0.055478994
83.0,83.0,0.5239922
84.0,84.0,0.13883667
85.0,85.0,0.10868849
86.0,86.0,0.044804815
87.0,87.0,0.33793744
88.0,88.0,0.18583998
89.0,89.0,0.24549358
90.0,90.0,0.5362275
91.0,91.0,0.033663332
92.0,92.0,0.5052447
93.0,93.0,0.18883114
94.0,94.0,0.53184193
95.0,95.0,0.7936996
96.0,96.0,0.038643196
97.0,97.0,0.449017
98.0,98.0,0.2369436
99.0,99.0,0.1884066
100.0,100.0,0.17359477
101.0,101.0,0.15279816
102.0,102.0,0.44491613
