Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.13404E-11,0.000000002,0.000000109,1,0,0
2.47312E-11,0.000000005,0.000000127,0.99990002,0,0
2.92435E-11,0.00000001,0.00000015,0.99970006,0,0
8.3715E-11,0.000000033,0.000000428,0.99930014,0,0
1.03865E-10,0.000000101,0.000000531,0.99860028,0,0
2.15927E-10,0.000000267,0.000001105,0.99760048,0,0
4.54056E-10,0.000001032,0.000002323,0.99530094,0,0
8.58358E-10,0.000002559,0.000004391,0.9930014,0,0
2.73018E-9,0.000010224,0.000013966,0.98870226,0,0
7.70685E-9,0.000025568,0.000039423,0.985502899,0,0
1.3254E-8,0.000050022,0.000067796,0.983103379,0,0
2.62433E-8,0.000101091,0.000134229,0.980503899,0,0
5.04724E-8,0.000251356,0.000258123,0.976604679,0,0
8.60629E-8,0.000507469,0.000440058,0.972905419,0,0
1.32806E-7,0.001003774,0.000678901,0.968406319,0,0
3.01759E-7,0.002507815,0.001541257,0.961407718,0,0
4.87317E-7,0.005018875,0.002486654,0.954909018,0,0
8.69861E-7,0.010009845,0.004430029,0.947610478,0,0
1.94373E-6,0.025138056,0.009845172,0.936612677,0,0
3.0549E-6,0.05026008,0.015386768,0.926514697,0,0
5.16402E-6,0.100429295,0.02573647,0.913817237,0,0
7.99338E-6,0.200726916,0.039283545,0.898520296,0,0
1.01158E-5,0.300599459,0.049201104,0.887522496,0,0
1.12863E-5,0.400418681,0.054583206,0.878224355,0,0
1.21534E-5,0.500136298,0.058531138,0.869726055,0,0
1.3037E-5,0.60055599,0.062520786,0.861727654,0,0
1.36633E-5,0.702013677,0.065328093,0.854129174,0,0
1.40489E-5,0.75060904,0.067047985,0.850629874,0,0
1.42666E-5,0.800200146,0.068016431,0.847130574,0,0
1.48165E-5,0.900535577,0.070453465,0.840231954,0,0
1.54263E-5,1.000461689,0.073141131,0.833633273,0,0
1.5945E-5,1.100897336,0.075414947,0.827234553,0,0
1.66119E-5,1.200274824,0.078322118,0.821135773,0,0
1.72437E-5,1.300063183,0.081059158,0.815236953,0,0
1.78308E-5,1.401642221,0.083588534,0.809438112,0,0
1.84267E-5,1.501207864,0.086141339,0.803939212,0,0
2.00455E-5,1.751257076,0.093004876,0.790941812,0,0
2.14406E-5,2.000811347,0.098838047,0.778944211,0,0
2.27671E-5,2.251013917,0.104315177,0.767646471,0,0
2.36324E-5,2.501376068,0.107852231,0.75684863,0,0
2.47936E-5,2.750939102,0.112555206,0.74655069,0,0
2.59857E-5,3.002594351,0.117331953,0.736652669,0,0
2.69157E-5,3.250935198,0.121022867,0.727254549,0,0
2.76817E-5,3.502316038,0.124040026,0.718056389,0,0
2.83678E-5,3.751470297,0.12672488,0.709158168,0,0
2.92272E-5,4.002133819,0.130064605,0.700459908,0,0
3.00336E-5,4.251397177,0.133175293,0.692061588,0,0
3.09028E-5,4.504480774,0.136503318,0.683763247,0,0
3.16264E-5,4.751714637,0.13925449,0.675864827,0,0
3.24131E-5,5.001792925,0.142225968,0.668066387,0,0
3.30478E-5,5.250422329,0.144608103,0.660467906,0,0
3.37692E-5,5.501245843,0.14729989,0.652969406,0,0
3.44196E-5,5.750400072,0.149711873,0.645670866,0,0
3.49708E-5,6.000394818,0.151745593,0.638472306,0,0
3.55298E-5,6.250785558,0.153798405,0.631373725,0,0
3.63385E-5,6.502323925,0.156750184,0.624375125,0,0
3.69099E-5,6.754920474,0.158823474,0.617476505,0,0
3.74889E-5,7.000462724,0.160914015,0.610877824,0,0
3.82406E-5,7.250362277,0.163612545,0.604279144,0,0
3.87368E-5,7.504382443,0.165384455,0.597680464,0,0
3.94302E-5,7.750496195,0.167847997,0.591381724,0,0
3.99917E-5,8.000750925,0.169832546,0.585082983,0,0
4.06724E-5,8.254953318,0.172225406,0.578784243,0,0
4.12593E-5,8.500800214,0.17427725,0.572785443,0,0
4.18868E-5,8.750215149,0.176460303,0.566786643,0,0
4.25891E-5,9.007815742,0.178889611,0.560687862,0,0
4.33116E-5,9.252697915,0.181373833,0.554989002,0,0
4.38294E-5,9.501151328,0.183144996,0.549290142,0,0
4.42235E-5,9.752242417,0.18448803,0.543591282,0,0
4.4694E-5,10.001255393,0.186085547,0.537992402,0,0
4.53062E-5,10.253205237,0.18815498,0.532393521,0,0
4.58335E-5,10.503973707,0.189929062,0.526894621,0,0
4.6358E-5,10.752813923,0.191685823,0.521495701,0,0
4.70295E-5,11.000377239,0.193923922,0.516196761,0,0
4.75602E-5,11.251106967,0.195684025,0.51089782,0,0
4.82537E-5,11.500528672,0.197972503,0.50569886,0,0
4.87299E-5,11.752561796,0.199536482,0.5004999,0,0
4.94072E-5,12.007938116,0.201750098,0.49530094,0,0
5.00479E-5,12.251718569,0.203833208,0.49040192,0,0
5.07494E-5,12.503783019,0.206101478,0.485402919,0,0
5.14055E-5,12.753771294,0.208210957,0.480503899,0,0
5.2124E-5,13.002227437,0.210508613,0.475704859,0,0
5.29374E-5,13.254287588,0.213093729,0.470905819,0,0
5.36004E-5,13.504864213,0.215188338,0.466206759,0,0
5.42275E-5,13.763590736,0.217159202,0.461407718,0,0
5.47997E-5,14.003487015,0.21894878,0.457008598,0,0
5.57986E-5,14.252447036,0.222053679,0.452509498,0,0
5.65915E-5,14.505218978,0.224500789,0.448010398,0,0
5.71538E-5,14.755382778,0.22622661,0.443611278,0,0
5.77587E-5,15.002537581,0.228074985,0.439312138,0,0
5.86258E-5,15.253127796,0.230708831,0.435012997,0,0
5.94266E-5,15.50108304,0.233125643,0.430813837,0,0
6.03929E-5,15.752631412,0.236021674,0.426614677,0,0
6.12639E-5,16.001996133,0.238613374,0.422515497,0,0
6.22655E-5,16.255460773,0.241572175,0.418416317,0,0
6.30806E-5,16.500349424,0.243962961,0.414517097,0,0
6.40418E-5,16.754587117,0.246763102,0.410517896,0,0
6.52568E-5,17.006506442,0.250272819,0.406618676,0,0
6.62328E-5,17.262979899,0.253068785,0.402719456,0,0
6.70032E-5,17.509294673,0.255260956,0.399020196,0,0
6.77752E-5,17.752033977,0.257445026,0.395420916,0,0
6.88303E-5,18.004735956,0.26040919,0.391721656,0,0
6.94906E-5,18.253758026,0.262252125,0.388122376,0,0
7.05094E-5,18.505598835,0.265077688,0.384523095,0,0
7.12935E-5,18.7536204,0.267237889,0.381023795,0,0
7.20389E-5,19.004462611,0.269279442,0.377524495,0,0
7.29433E-5,19.250991548,0.271741344,0.374125175,0,0
7.37814E-5,19.500570972,0.274008167,0.370725855,0,0
7.48549E-5,19.753657389,0.276891016,0.367326535,0,0
7.55128E-5,20.001569035,0.278646546,0.364027195,0,0
7.66025E-5,20.252263241,0.28153556,0.360727854,0,0
7.76732E-5,20.506820934,0.284351754,0.357428514,0,0
7.85842E-5,20.756768509,0.286730448,0.354229154,0,0
7.93032E-5,21.001461331,0.288596835,0.351129774,0,0
8.01929E-5,21.256698545,0.290892697,0.347930414,0,0
8.11735E-5,21.506843976,0.293406063,0.344831034,0,0
8.18668E-5,21.751484773,0.295172457,0.341831634,0,0
8.26159E-5,22.006282532,0.297070946,0.338732254,0,0
8.38208E-5,22.2559883,0.300103259,0.335732853,0,0
8.46449E-5,22.500113828,0.302162168,0.332833433,0,0
8.51748E-5,22.754942402,0.303479896,0.329834033,0,0
8.60701E-5,23.003489279,0.305694638,0.326934613,0,0
8.67839E-5,23.254193959,0.307450403,0.324035193,0,0
8.7745E-5,23.507427983,0.309800497,0.321135773,0,0
8.8553E-5,23.754303197,0.311763783,0.318336333,0,0
8.91448E-5,24.003052118,0.313194722,0.315536893,0,0
9.02732E-5,24.254135581,0.315906884,0.312737453,0,0
9.1427E-5,24.508531576,0.318657752,0.309938012,0,0
9.24703E-5,24.757040972,0.321126452,0.307238552,0,0
9.31825E-5,25.007575274,0.322801275,0.304539092,0,0
9.39674E-5,25.250850683,0.324637701,0.301939612,0,0
9.5035E-5,25.506177348,0.327119401,0.299240152,0,0
9.60426E-5,25.754721001,0.329445114,0.296640672,0,0
